ID,Text,Comment
BeaverBuddies.Menu.JoinCoopGame,"Rejoindre partie co-op","Join co-op game"
BeaverBuddies.JoinCoopGame.EnterIp,"Entrez l'adresse IP de l'Hôte :","Enter the global IP address of the Host:"
BeaverBuddies.FirstTimer.Message,"Il semble que vous utilisiez BeaverBuddies pour la première fois. Nous vous recommandons de jeter un coup d'œil rapide à notre guide pour vous assurer que vous êtes prêt à jouer. Voulez-vous le faire maintenant ?","It looks like this is your first time using BeaverBuddies. We recommend taking a quick look through our guide to make sure you are set up to play. Would you like to do that now?"
BeaverBuddies.Saving.HostCoopGame,"Héberger partie co-op","Host co-op game"
BeaverBuddies.JoinCoopGame.ConnectionFailedMessageWithError,"La connexion a échoué en raison d'une erreur :
{0}
Souhaitez-vous consulter le guide de dépannage ?","Joining failed with error:
{0}
Would you like to open the troubleshooting guide?"
BeaverBuddies.JoinCoopGame.ConnectionFailedMessage,"Échec de connexion à l'Hôte. Souhaitez-vous consulter le guide de dépannage ?","Failed to connect to Host. Would you like to open the troubleshooting guide?"
BeaverBuddies.ClientDesynced.Message,"Un joueur connecté s'est désynchronisé et ne peut plus continuer à jouer - désolé ! L'hôte doit relancer la partie, et APRÈS cela, le client doit se reconnecter. Vous devrez peut-être redémarrer le jeu si les problèmes persistent. Avant de recharger, souhaitez-vous envoyer un rapport de bug pour nous aider à corriger ce problème ?","A connected player desynced and cannot continue playing - sorry about that! The Host should hit Rehost and, AFTER that, the Client should Reconnect. You may need to restart the game if problems persist. Before reloading, would you like to file a bug report to help us fix this issue?"
BeaverBuddies.ClientDesynced.FailedToRehostMessage,"Échec de réhébergement. Sauvegardez manuellement et hébergez à nouveau.","Failed to Rehost. Manually save and Host again."
BeaverBuddies.ClientDesynced.SaveAndRehostButton,"Sauvegarder et réhéberger","Save and Rehost"
BeaverBuddies.ClientDesynced.WaitForRehostButton,"Reconnexion (attendre le réhébergement)","Reconnect (wait for Rehost)"
BeaverBuddies.ClientDesynced.PostBugReportButton,"Envoyer un rapport de bug","Post Bug Report"
BeaverBuddies.Editor.StartingLocation1,"Emplacement de départ - Joueur 1",""
BeaverBuddies.Editor.StartingLocation2,"Emplacement de départ - Joueur 2",""
BeaverBuddies.Editor.StartingLocation3,"Emplacement de départ - Joueur 3",""
BeaverBuddies.Editor.StartingLocation4,"Emplacement de départ - Joueur 4",""
BeaverBuddies.NewGame.MaxStartingLocations,"Emplacements de départ max",""
BeaverBuddies.ClientDesynced.ReportSuccess,"Succès!",""
BeaverBuddies.ClientDesynced.ReportFailed,"Échec :(",""
BeaverBuddies.ClientDesynced.ConsentAgreement,"Oui, j'accepte",""
BeaverBuddies.ClientDesynced.TracingEnabled,"Activé",""
BeaverBuddies.ClientDesynced.EnableTracing,"Activer la journalisation",""
BeaverBuddies.ClientDesynced.NeedToEnableTracing,"Pour signaler cette désynchronisation, *tous les joueurs* doivent d'abord activer une journalisation plus détaillée en appuyant sur 'Activer la journalisation' ci-dessous. Si une autre désynchronisation se produit, vous pourrez alors envoyer un rapport de bug détaillé et automatisé. Le mode de journalisation peut provoquer un certain décalage, mais il ne sera actif que jusqu'au redémarrage du jeu.",""
BeaverBuddies.ClientDesynced.ConsentMessage,"Consentement pour partager les données d'utilisation

En choisissant de partager vos données, vous acceptez d'envoyer les informations suivantes de votre session de jeu aux développeurs de ce mod :

- Données de journal : Informations collectées automatiquement pendant votre session de jeu, telles que les événements du jeu et les interactions de l'utilisateur.
- Fichier de sauvegarde : Votre fichier de sauvegarde actuel du jeu.

Nous nous efforçons de préserver votre vie privée en gardant ces données largement anonymes. Cependant, comme les données sont collectées telles quelles, elles peuvent inclure involontairement des détails pouvant vous identifier (comme des chemins de fichiers ou des noms d'utilisateur). Les développeurs ne tenteront pas de vous identifier à l'aide de ces informations.

Vos choix :
- Si vous acceptez, ces données seront envoyées en toute sécurité aux développeurs et utilisées pour améliorer le mod.
- Si vous n'acceptez pas, aucune donnée ne sera envoyée et votre jeu continuera sans aucun changement.

En poursuivant, vous confirmez que vous avez au moins l'âge légal de consentement numérique dans votre pays de résidence.

Acceptez-vous de partager vos données avec les développeurs de ce mod ?",""
