ID,Text,Comment
BeaverBuddies.Menu.JoinCoopGame,"Unirse al juego cooperativo","Join co-op game"
BeaverBuddies.JoinCoopGame.EnterIp,"Ingrese la dirección IP global del anfitrión:","Enter the global IP address of the Host:"
BeaverBuddies.FirstTimer.Message,"Parece que es la primera vez que usas BeaverBuddies. Recomendamos echar un vistazo rápido a nuestra guía para asegurarte de que estás listo para jugar. ¿Te gustaría hacerlo ahora?","It looks like this is your first time using BeaverBuddies. We recommend taking a quick look through our guide to make sure you are set up to play. Would you like to do that now?"
BeaverBuddies.Saving.HostCoopGame,"Hostear juego cooperativo","Host co-op game"
BeaverBuddies.JoinCoopGame.ConnectionFailedMessageWithError,"Fallo al unirse con error:
{0}
¿Te gustaría abrir la guía de solución de problemas?","Joining failed with error:
{0}
Would you like to open the troubleshooting guide?"
BeaverBuddies.JoinCoopGame.ConnectionFailedMessage,"No se pudo conectar al anfitrión. ¿Te gustaría abrir la guía de solución de problemas?","Failed to connect to Host. Would you like to open the troubleshooting guide?"
BeaverBuddies.ClientDesynced.Message,"Un jugador conectado se desincronizó y no puede seguir jugando. ¡Lo sentimos! El anfitrión debe reiniciar la partida y, DESPUÉS de eso, el cliente debe volver a conectarse. Puede que necesites reiniciar el juego si los problemas persisten. Antes de recargar, ¿te gustaría enviar un informe de errores para ayudarnos a solucionar este problema?","A connected player desynced and cannot continue playing - sorry about that! The Host should hit Rehost and, AFTER that, the Client should Reconnect. You may need to restart the game if problems persist. Before reloading, would you like to file a bug report to help us fix this issue?"
BeaverBuddies.ClientDesynced.FailedToRehostMessage,"No se pudo reanfitrionar. Guarde manualmente y vuelva a alojar.","Failed to Rehost. Manually save and Host again."
BeaverBuddies.ClientDesynced.SaveAndRehostButton,"Guardar y Reanfitrionar","Save and Rehost"
BeaverBuddies.ClientDesynced.WaitForRehostButton,"Reconectar (esperar para reanfitrionar)","Reconnect (wait for Rehost)"
BeaverBuddies.ClientDesynced.PostBugReportButton,"Enviar informe de error","Post Bug Report"
BeaverBuddies.Editor.StartingLocation1,"Ubicación de inicio - Jugador 1",""
BeaverBuddies.Editor.StartingLocation2,"Ubicación de inicio - Jugador 2",""
BeaverBuddies.Editor.StartingLocation3,"Ubicación de inicio - Jugador 3",""
BeaverBuddies.Editor.StartingLocation4,"Ubicación de inicio - Jugador 4",""
BeaverBuddies.NewGame.MaxStartingLocations,"Máximo de ubicaciones de inicio",""
BeaverBuddies.ClientDesynced.ReportSuccess,"¡Éxito!",""
BeaverBuddies.ClientDesynced.ReportFailed,"Fallido :(",""
BeaverBuddies.ClientDesynced.ConsentAgreement,"Sí, estoy de acuerdo",""
BeaverBuddies.ClientDesynced.TracingEnabled,"Habilitado",""
BeaverBuddies.ClientDesynced.EnableTracing,"Habilitar registro",""
BeaverBuddies.ClientDesynced.NeedToEnableTracing,"Para informar de esta desincronización, *todos los jugadores* deben habilitar primero un registro más detallado presionando 'Habilitar registro' a continuación. Si ocurre otra desincronización, entonces podrá enviar un informe de error detallado y automatizado. El modo de registro puede causar algo de retraso, pero solo estará activo hasta que reinicie el juego.",""
